time(ms),altitude(m),velocity_pressure(m/s),acceleration_x(mG),acceleration_y(mG),acceleration_z(mG),acceleration_total(mG),gyro_x,gyro_y,gyro_z,bmp_temp(x100),pitch,roll,yaw,tilt,mt1_temp,apogee_prediction,air_brake_percent,target_alt,air_density,
45083,-7.030,-3.13,-78,-60,99,-860.4,44,143,-254,,59.73,-43.95,100.17,68.72,,,,,,
45131,-7.181,-2.78,-106,-238,-97,-722.0,89,92,-305,,60.35,-68.54,87.58,79.57,,,,,,
45181,-7.338,-2.42,113,-166,-519,-443.5,303,76,-142,,50.38,-86.28,78.14,87.63,,,,,,
45229,-7.490,-2.04,60,-110,-1,-874.7,323,112,-84,0,35.39,-95.91,71.87,94.81,,,,,,
45277,-7.642,-1.67,1984,-2091,888,2016.1,438,172,-24,,16.08,-101.11,67.41,100.67,,,,,,
45325,-7.670,-1.30,-65,-83,62,-877.7,-195,54,425,,16.84,-89.94,64.23,89.94,,,,,,
45373,-7.676,-0.91,-240,-438,-193,-464.6,-42,45,330,,23.70,-70.52,62.17,72.22,,,,,,
45420,-7.680,-0.58,-402,-474,-292,-313.3,89,-50,156,,21.95,-58.76,61.63,61.25,,,,,,
45468,-7.682,-0.21,-1156,-1482,-360,913.7,1,64,-77,0,17.77,-56.40,60.68,58.20,,,,,,
45516,-7.682,-0.06,-250,-582,-76,-362.0,17,-14,-137,,17.51,-60.41,59.69,61.91,,,,,,
45564,-7.682,-0.05,-442,-1148,-5,230.2,6,-25,-148,,15.83,-68.35,60.57,69.21,,,,,,
45612,-7.684,-0.04,-74,-919,-83,-74.3,4,-6,-83,,15.07,-73.69,60.87,74.26,,,,,,
45660,-7.687,-0.04,-52,-988,-46,-9.6,0,1,4,,14.67,-75.92,60.97,76.39,,,,,,
45708,-7.690,-0.05,-196,-980,-53,0.8,0,0,31,0,14.25,-74.94,60.82,75.41,,,,,,
45756,-7.694,-0.06,-262,-979,-49,14.6,-1,1,12,,13.76,-73.93,60.73,74.40,,,,,,
45804,-7.696,-0.06,-193,-983,-47,2.9,0,0,-9,,13.23,-74.22,60.68,74.65,,,,,,
45852,-7.698,-0.05,-187,-971,-53,-9.7,0,0,4,,12.78,-74.59,60.61,74.98,,,,,,
45900,-7.701,-0.04,-217,-979,-53,4.2,0,0,0,,12.29,-74.63,60.53,74.99,,,,,,
45948,-7.704,-0.02,-194,-974,-47,-5.8,0,0,1,0,11.81,-74.88,60.46,75.21,,,,,,
45996,-7.706,-0.02,-212,-978,-50,2.0,0,0,0,,11.33,-74.99,60.39,75.29,,,,,,
46044,-7.706,-0.01,-206,-980,-49,2.6,0,0,1,,10.85,-75.18,60.32,75.45,,,,,,
46092,-7.705,-0.00,-203,-980,-48,2.0,0,0,0,,10.37,-75.33,60.25,75.57,,,,,,
46139,-7.704,0.01,-207,-974,-51,-2.9,0,0,1,,9.89,-75.50,60.19,75.72,,,,,,
46187,-7.703,0.01,-201,-974,-51,-4.2,0,0,0,0,9.41,-75.67,60.13,75.87,,,,,,
46235,-7.702,0.01,-201,-977,-51,-1.2,0,0,0,,8.94,-75.84,60.06,76.01,,,,,,
46283,-7.702,0.02,-203,-977,-49,-0.9,0,0,0,,8.47,-76.01,60.01,76.16,,,,,,
46331,-7.702,0.01,-204,-975,-55,-2.4,0,0,1,,8.00,-76.17,59.95,76.31,,,,,,
46379,-7.701,0.01,-200,-977,-49,-1.5,0,0,0,,7.53,-76.35,59.89,76.47,,,,,,
46427,-7.700,0.01,-200,-977,-45,-1.7,0,0,0,0,7.07,-76.52,59.83,76.62,,,,,,
46475,-7.699,0.01,-200,-975,-47,-3.6,0,0,0,,6.60,-76.69,59.78,76.78,,,,,,
46523,-7.698,0.01,-203,-983,-49,4.9,0,0,0,,6.14,-76.86,59.72,76.94,,,,,,
46571,-7.698,0.01,-201,-973,-51,-5.1,0,0,0,,5.68,-77.02,59.67,77.08,,,,,,
46619,-7.698,0.01,-204,-971,-49,-6.6,0,0,0,,5.21,-77.19,59.62,77.24,,,,,,
46667,-7.698,0.01,-204,-974,-49,-3.7,0,0,0,0,4.76,-77.36,59.57,77.40,,,,,,
46715,-7.698,0.01,-201,-977,-54,-1.1,0,0,0,,4.34,-77.57,59.52,77.60,,,,,,
46768,-7.697,0.00,-201,-977,-48,-1.4,0,0,0,,3.91,-77.76,59.48,77.79,,,,,,
46816,-7.696,0.00,-207,-977,-50,-0.1,0,0,0,,3.50,-77.96,59.43,77.98,,,,,,
46864,-7.696,0.00,-204,-975,-53,-2.5,0,0,0,,3.08,-78.12,59.39,78.14,,,,,,
46912,-7.696,0.01,-203,-973,-52,-4.7,0,0,0,0,3.02,-78.22,59.35,78.24,,,,,,
46960,-7.696,0.00,-206,-974,-50,-3.2,0,0,0,,2.89,-78.19,59.32,78.20,,,,,,
47008,-7.696,0.00,-205,-976,-53,-1.3,0,0,1,,2.92,-78.16,59.29,78.17,,,,,,
47056,-7.696,0.01,-202,-973,-54,-4.8,0,0,0,,2.99,-78.26,59.25,78.27,,,,,,
47104,-7.696,0.01,-203,-972,-47,-5.9,0,0,0,,2.88,-78.29,59.22,78.30,,,,,,
47152,-7.695,0.01,-206,-969,-54,-7.9,0,0,0,0,2.99,-78.24,59.19,78.25,,,,,,
47202,-7.695,0.01,-200,-980,-53,1.6,0,0,0,,2.96,-78.27,59.16,78.28,,,,,,
47250,-7.694,0.01,-202,-975,-55,-2.8,0,0,0,,2.92,-78.30,59.13,78.31,,,,,,
47298,-7.693,0.00,-206,-971,-51,-6.1,0,0,0,,2.97,-78.30,59.10,78.31,,,,,,
47346,-7.693,0.00,-193,-978,-48,-2.0,0,0,0,,2.89,-78.38,59.06,78.39,,,,,,
47394,-7.693,-0.00,-200,-973,-50,-5.4,0,0,0,0,2.92,-78.37,59.03,78.38,,,,,,
47442,-7.694,-0.01,-201,-973,-53,-5.0,0,0,0,,2.98,-78.31,59.00,78.32,,,,,,
47490,-7.694,-0.01,-204,-974,-54,-3.4,0,0,0,,3.03,-78.36,58.97,78.38,,,,,,
47538,-7.695,-0.02,-194,-975,-50,-4.6,0,0,0,,2.96,-78.30,58.94,78.31,,,,,,
47586,-7.696,-0.02,-205,-972,-51,-5.3,0,0,0,,2.93,-78.31,58.91,78.32,,,,,,
47633,-7.697,-0.02,-203,-979,-43,0.7,0,0,0,0,2.91,-78.34,58.88,78.35,,,,,,
47681,-7.698,-0.02,-198,-980,-48,1.0,0,0,0,,2.90,-78.39,58.84,78.40,,,,,,
47729,-7.700,-0.02,-204,-974,-49,-3.7,0,0,0,,2.91,-78.22,58.82,78.23,,,,,,
47777,-7.701,-0.02,-202,-973,-57,-4.6,0,0,0,,3.05,-78.30,58.79,78.32,,,,,,
47825,-7.703,-0.02,-203,-977,-53,-0.7,0,0,0,,3.00,-78.26,58.76,78.28,,,,,,
47873,-7.704,-0.01,-204,-977,-50,-0.7,0,0,0,0,2.91,-78.21,58.73,78.22,,,,,,
47921,-7.704,-0.01,-201,-974,-56,-3.9,0,0,0,,2.96,-78.26,58.70,78.27,,,,,,
47969,-7.704,-0.00,-204,-979,-49,1.2,0,0,0,,3.05,-78.30,58.67,78.32,,,,,,
48017,-7.703,0.00,-197,-977,-47,-2.2,0,0,0,,3.00,-78.27,58.64,78.29,,,,,,
48065,-7.702,0.00,-203,-978,-48,-0.0,0,0,0,,2.89,-78.25,58.61,78.26,,,,,,
48113,-7.702,0.01,-199,-973,-48,-5.7,0,0,0,0,2.90,-78.33,58.57,78.34,,,,,,
48161,-7.702,0.01,-199,-980,-51,1.3,0,0,0,,2.92,-78.36,58.54,78.37,,,,,,
48209,-7.702,0.00,-201,-976,-49,-2.3,0,0,0,,2.85,-78.36,58.51,78.37,,,,,,
48256,-7.702,0.00,-202,-975,-51,-3.0,0,0,0,,2.97,-78.32,58.48,78.33,,,,,,
48304,-7.702,0.00,-202,-982,-53,4.0,0,0,0,,2.97,-78.32,58.45,78.33,,,,,,
48352,-7.702,0.00,-200,-981,-54,2.6,0,0,0,0,2.91,-78.37,58.42,78.38,,,,,,
48400,-7.701,0.00,-199,-973,-47,-5.7,0,0,0,,3.05,-78.27,58.39,78.29,,,,,,
48448,-7.701,0.00,-199,-972,-50,-6.6,0,0,0,,2.97,-78.29,58.36,78.30,,,,,,
48496,-7.701,0.00,-197,-979,-49,-0.2,0,0,0,,2.94,-78.30,58.33,78.31,,,,,,
48544,-7.701,-0.00,-196,-977,-47,-2.4,0,0,0,,2.90,-78.28,58.30,78.29,,,,,,
48592,-7.701,-0.00,-210,-979,-51,2.6,0,0,0,0,2.83,-78.22,58.27,78.23,,,,,,
48640,-7.701,-0.01,-200,-971,-54,-7.1,0,0,0,,3.01,-78.23,58.24,78.25,,,,,,
48688,-7.701,-0.01,-203,-975,-48,-2.9,0,0,0,,2.94,-78.34,58.21,78.35,,,,,,
48736,-7.702,-0.02,-204,-973,-52,-4.5,0,0,0,,2.89,-78.31,58.18,78.32,,,,,,
48784,-7.703,-0.02,-202,-976,-51,-2.0,0,0,0,,2.97,-78.28,58.15,78.29,,,,,,
48832,-7.704,-0.02,-197,-978,-51,-1.1,0,0,0,0,2.97,-78.37,58.11,78.38,,,,,,
48880,-7.706,-0.02,-196,-975,-53,-4.1,0,0,0,,2.97,-78.33,58.08,78.34,,,,,,
48928,-7.707,-0.03,-199,-975,-49,-3.7,0,0,0,,2.99,-78.30,58.05,78.31,,,,,,
49087,-7.711,-0.03,-205,-975,-49,-2.5,0,0,0,,2.91,-78.27,58.02,78.28,,,,,,
49330,-7.717,-0.03,-202,-977,-52,-1.0,0,0,0,,3.05,-78.26,57.99,78.28,,,,,,
49569,-7.726,-0.04,-200,-973,-48,-5.5,0,0,0,0,2.92,-78.32,57.96,78.33,,,,,,
49809,-7.738,-0.04,-204,-977,-51,-0.6,0,0,0,,2.96,-78.33,57.93,78.34,,,,,,
50049,-7.744,-0.03,-202,-976,-51,-2.0,0,0,0,,2.96,-78.30,57.80,78.31,,,,,,
50288,-7.751,-0.02,-204,-977,-52,-0.6,0,0,0,,3.01,-78.21,57.65,78.23,,,,,,
50528,-7.756,-0.04,-201,-982,-51,3.7,0,0,0,,2.97,-78.26,57.49,78.27,,,,,,
50767,-7.772,-0.07,-199,-978,-53,-0.6,0,0,0,0,2.97,-78.29,57.33,78.30,,,,,,
51007,-7.785,-0.05,-196,-974,-51,-5.2,0,0,0,,2.92,-78.26,57.18,78.27,,,,,,
51249,-7.796,-0.02,-202,-977,-50,-1.1,0,0,0,,2.97,-78.27,57.02,78.28,,,,,,
51489,-7.797,-0.06,-205,-979,-50,1.5,0,0,0,,2.87,-78.34,56.86,78.35,,,,,,
51728,-7.826,-0.10,-206,-975,-48,-2.3,0,0,0,,2.88,-78.24,56.72,78.25,,,,,,
